Node_ID,Users,Traffic_Load_Mbps,CQI,SNR_dB,Latency_Req_ms,Available_Channels,Power_mW,Edge_CPU%,Action_Channel,Action_Power,Action_Routing,Offloading,Throughput_Mbps,Latency_ms,Energy_mJ,Reward_Score
1,43,27.01,12,21.67,10,4,162,29,Ch7,144,Path_B,0,10.12,48.54,146.29,-0.05
2,33,94.56,14,13.08,5,3,93,75,Ch10,235,Path_B,0,10.59,39.45,111.89,0.014
3,19,66.72,4,27.45,20,5,209,31,Ch7,208,Path_B,1,11.02,46.17,181.94,-0.031
4,47,62.73,5,27.2,10,7,59,52,Ch4,87,Path_B,1,7.25,51.87,75.61,-0.106
5,12,53.71,8,13.13,5,8,113,90,Ch7,263,Path_C,1,8.18,36.53,133.33,-0.033
6,25,26.91,15,27.52,50,2,281,36,Ch8,222,Path_A,0,17.09,34.62,238.54,0.138
7,43,21.77,6,29.9,20,7,256,80,Ch3,90,Path_B,0,13.19,53.59,247.85,-0.04
8,23,25.95,14,25.64,50,1,118,29,Ch10,186,Path_D,0,16.83,36.81,108.18,0.167
9,27,22.71,15,26.12,5,7,117,50,Ch2,293,Path_A,0,19.3,36.15,118.77,0.221
10,15,79.06,4,11.23,50,8,299,79,Ch7,186,Path_D,1,7.32,43.45,284.15,-0.136
11,15,38.26,13,19.42,5,2,77,89,Ch5,240,Path_A,1,15.88,32.26,105.53,0.168
12,28,10.5,11,6.68,5,9,230,36,Ch5,128,Path_A,1,4.89,32.45,202.08,-0.111
13,40,97.06,7,7.37,50,1,165,69,Ch5,254,Path_A,1,1.74,47.26,163.5,-0.237
14,44,88.96,8,29.97,5,6,100,56,Ch7,177,Path_D,0,14.82,52.28,110.15,0.049
15,28,93.14,2,13.17,10,1,230,81,Ch9,71,Path_B,0,1.0,57.12,226.25,-0.321
16,7,99.52,12,23.7,5,3,53,99,Ch8,65,Path_B,1,19.75,29.0,96.4,0.272
17,26,21.52,7,25.17,30,6,128,91,Ch6,81,Path_D,0,9.52,47.61,145.0,-0.059
18,6,42.64,15,26.45,5,3,66,96,Ch7,243,Path_B,0,23.24,30.78,98.51,0.341
19,28,77.03,14,29.94,30,8,157,48,Ch9,267,Path_C,0,20.64,39.64,153.56,0.223
20,48,71.12,2,11.04,5,5,244,51,Ch6,191,Path_B,0,1.0,60.95,221.96,-0.337
21,34,19.62,2,6.01,5,2,123,99,Ch1,87,Path_C,1,1.0,52.6,143.37,-0.271
22,42,82.5,8,15.28,50,4,224,30,Ch4,147,Path_C,0,2.82,53.12,200.73,-0.253
23,6,26.32,2,8.25,10,9,283,25,Ch8,185,Path_C,1,4.68,40.61,230.41,-0.164
24,25,26.26,15,5.56,10,4,233,54,Ch7,277,Path_D,0,11.89,33.96,217.32,0.033
25,37,56.01,11,14.01,20,8,72,52,Ch3,70,Path_B,0,6.21,46.8,77.27,-0.106
26,16,61.33,9,24.59,50,5,67,37,Ch10,105,Path_B,1,15.05,37.94,81.53,0.131
27,26,60.11,12,19.15,50,1,178,56,Ch3,95,Path_D,1,14.98,35.58,162.68,0.113
28,48,13.69,1,12.82,10,7,84,32,Ch3,92,Path_D,0,1.0,62.23,88.96,-0.298
29,29,88.36,15,21.36,50,3,113,93,Ch1,169,Path_B,0,13.89,34.88,136.49,0.101
30,31,30.23,9,10.8,10,8,294,83,Ch10,269,Path_D,1,6.06,39.91,274.87,-0.145
31,46,17.3,15,5.36,50,3,235,20,Ch1,95,Path_D,0,6.05,43.62,198.93,-0.136
32,32,89.43,1,24.11,5,1,272,82,Ch6,285,Path_C,0,6.25,57.16,261.76,-0.216
33,20,95.79,10,20.59,10,5,108,53,Ch1,97,Path_D,1,9.34,36.15,108.38,0.003
34,19,86.9,13,24.06,10,2,285,29,Ch5,247,Path_C,0,19.63,35.07,238.42,0.193
35,48,81.9,10,5.97,30,4,50,26,Ch4,133,Path_A,0,4.42,50.66,56.25,-0.156
36,7,67.25,2,25.93,50,1,180,75,Ch5,80,Path_C,0,13.4,48.29,172.96,0.015
37,41,57.33,6,20.49,50,9,116,99,Ch7,210,Path_C,0,4.78,53.15,139.38,-0.188
38,11,13.26,6,19.08,10,6,86,56,Ch6,221,Path_D,0,11.11,41.77,112.0,0.015
39,25,43.8,1,20.62,5,8,260,48,Ch9,120,Path_B,1,9.65,48.58,227.16,-0.089
40,13,40.41,7,26.61,5,4,78,31,Ch6,57,Path_A,0,18.12,43.41,83.64,0.173
41,43,29.68,8,19.67,5,9,138,36,Ch9,250,Path_A,1,8.92,43.91,125.47,-0.049
42,22,73.72,2,19.52,50,2,210,67,Ch4,179,Path_A,1,7.67,51.76,204.05,-0.14
43,8,52.11,8,29.77,30,9,149,45,Ch1,194,Path_B,0,18.36,37.31,144.97,0.186
44,29,12.7,9,23.92,10,5,238,31,Ch1,101,Path_A,1,12.96,39.0,211.54,0.035
45,18,25.92,6,16.06,20,6,270,40,Ch10,94,Path_A,0,9.07,46.43,235.0,-0.094
46,13,69.91,5,22.68,30,3,171,61,Ch7,86,Path_B,1,13.84,40.85,177.24,0.058
47,30,12.23,12,14.73,20,4,139,80,Ch3,219,Path_A,1,13.98,34.34,148.25,0.101
48,6,85.86,9,10.72,30,6,181,77,Ch2,93,Path_D,1,13.6,31.86,184.47,0.092
49,24,52.04,13,19.92,5,7,290,73,Ch6,258,Path_D,0,12.72,36.21,269.73,0.023
50,32,50.66,12,28.2,50,1,63,53,Ch6,166,Path_C,1,17.75,36.17,71.29,0.203
51,11,61.28,11,28.23,20,7,291,26,Ch7,87,Path_C,1,22.19,34.73,244.37,0.249
52,48,83.34,9,13.55,30,1,268,54,Ch5,148,Path_C,1,5.61,46.02,242.21,-0.172
53,12,38.04,1,18.19,50,5,210,34,Ch8,173,Path_D,0,6.24,53.87,182.84,-0.174
54,39,69.41,11,10.29,20,6,199,84,Ch7,288,Path_D,0,11.97,45.96,213.4,-0.02
55,18,58.74,3,29.89,10,2,225,44,Ch2,280,Path_D,1,11.19,47.57,197.81,-0.04
56,21,30.37,9,29.53,30,9,180,78,Ch1,271,Path_C,1,15.6,33.6,188.9,0.127
57,40,88.47,11,21.24,10,6,264,98,Ch9,55,Path_C,1,11.89,40.04,264.48,-0.012
58,44,80.76,2,25.11,5,7,134,25,Ch5,117,Path_C,1,9.59,57.16,119.63,-0.093
59,8,67.55,12,22.88,10,8,282,71,Ch5,228,Path_C,0,17.77,33.54,256.77,0.152
60,6,85.81,4,19.83,10,1,200,98,Ch10,150,Path_C,0,11.38,48.44,205.16,-0.042
61,10,87.39,4,6.33,30,8,245,40,Ch4,212,Path_C,0,6.52,49.23,213.41,-0.157
62,46,72.29,2,16.37,5,4,70,90,Ch2,235,Path_D,1,1.0,55.1,92.07,-0.266
63,8,84.52,15,21.87,10,8,278,51,Ch5,234,Path_B,0,20.67,29.15,242.88,0.242
64,33,71.26,3,21.94,50,6,220,72,Ch2,250,Path_B,1,7.9,48.88,204.59,-0.121
65,22,69.61,13,14.33,20,9,272,78,Ch7,183,Path_C,1,13.71,31.16,263.33,0.07
66,30,63.77,3,28.54,10,4,262,88,Ch9,62,Path_B,1,12.73,47.65,256.69,-0.026
67,48,76.51,1,9.18,5,2,75,81,Ch9,236,Path_B,0,1.0,63.54,104.43,-0.309
68,38,20.07,6,17.51,10,2,90,23,Ch6,263,Path_D,1,6.57,45.22,86.44,-0.094
69,14,88.68,8,22.27,20,5,171,37,Ch1,269,Path_C,0,15.32,43.11,156.13,0.087
70,40,87.83,12,22.43,5,9,276,75,Ch6,79,Path_C,1,13.24,39.94,265.6,0.018
71,18,7.78,3,21.22,30,3,87,43,Ch5,293,Path_B,0,10.39,48.41,88.05,-0.024
72,35,83.45,5,11.88,5,8,137,85,Ch4,149,Path_C,1,3.05,50.32,152.63,-0.218
73,19,17.24,1,8.91,30,4,60,32,Ch6,51,Path_C,0,1.45,54.97,67.74,-0.247
74,12,36.84,10,20.9,5,6,282,81,Ch6,107,Path_C,1,18.44,34.72,259.49,0.161
75,18,75.63,7,19.98,20,6,78,73,Ch6,85,Path_C,0,15.02,43.76,114.38,0.092
76,27,20.27,10,9.48,20,3,288,34,Ch2,121,Path_B,1,4.32,39.03,247.54,-0.17
77,44,82.71,13,22.63,5,5,296,88,Ch7,222,Path_A,1,12.94,40.39,281.51,0.004
78,25,84.05,1,16.38,10,3,109,22,Ch4,283,Path_B,1,2.61,50.85,104.48,-0.214
79,20,53.21,12,21.69,20,1,244,56,Ch9,291,Path_D,0,15.82,41.0,227.77,0.084
80,49,5.61,11,25.93,30,7,242,56,Ch10,186,Path_A,1,12.77,43.27,221.79,0.007
81,22,32.27,9,9.24,30,4,293,22,Ch2,175,Path_A,1,8.76,39.81,246.05,-0.074
82,28,63.61,8,5.48,50,7,110,82,Ch5,242,Path_A,1,3.32,41.84,121.48,-0.162
83,30,98.21,7,24.48,30,3,295,54,Ch4,126,Path_B,0,8.01,49.38,260.22,-0.14
84,29,65.02,10,20.24,50,5,196,71,Ch9,99,Path_D,1,10.39,36.19,194.89,-0.004
85,49,29.68,15,22.49,5,5,223,47,Ch4,256,Path_B,1,15.24,37.76,204.12,0.094
86,45,65.23,7,25.95,5,2,226,37,Ch8,81,Path_D,0,4.09,51.9,205.41,-0.22
87,33,56.3,5,25.07,5,2,71,55,Ch8,147,Path_B,1,12.31,46.13,83.7,0.031
88,19,79.09,5,29.02,10,4,127,52,Ch6,92,Path_B,0,15.75,50.82,120.66,0.073
89,49,15.16,11,18.4,10,4,162,83,Ch6,174,Path_B,1,10.83,42.88,176.38,-0.018
90,5,77.3,13,17.21,50,4,234,45,Ch8,144,Path_A,0,17.61,30.5,216.88,0.176
91,29,56.42,5,15.05,30,6,172,67,Ch10,127,Path_B,0,1.6,50.66,175.59,-0.26
92,11,96.48,1,8.84,30,2,191,59,Ch9,103,Path_D,0,3.88,49.85,181.48,-0.208
93,13,37.48,8,19.32,5,6,93,36,Ch5,96,Path_D,1,16.01,39.05,97.62,0.142
94,28,65.1,12,11.93,20,7,193,59,Ch1,63,Path_D,1,11.81,34.36,201.04,0.035
95,5,93.54,11,28.03,10,3,146,26,Ch1,225,Path_A,0,20.49,35.79,130.38,0.245
96,48,14.74,1,19.58,10,8,126,76,Ch2,104,Path_B,1,1.16,59.93,132.24,-0.298
97,12,94.04,4,19.82,5,2,279,27,Ch10,206,Path_B,1,9.64,41.85,233.77,-0.06
98,28,70.35,15,13.87,10,8,290,75,Ch10,224,Path_C,0,11.7,36.7,272.63,-0.003
99,15,11.44,9,6.3,5,5,189,50,Ch5,112,Path_A,0,9.26,39.45,168.18,-0.035
100,21,33.59,14,5.79,50,2,104,78,Ch4,68,Path_D,0,7.5,38.97,123.05,-0.056
101,12,72.28,9,15.58,30,7,100,77,Ch1,140,Path_D,0,10.8,41.5,120.4,0.006
102,39,11.4,5,7.11,20,2,151,31,Ch4,186,Path_B,1,1.0,48.91,143.98,-0.255
103,39,60.31,4,20.17,30,6,216,67,Ch4,150,Path_D,1,2.5,49.54,212.85,-0.247
104,37,37.86,3,27.02,30,3,210,50,Ch10,86,Path_B,1,8.8,51.43,197.32,-0.111
105,9,63.99,3,27.07,50,9,210,82,Ch4,156,Path_B,1,16.46,42.69,198.19,0.1
106,46,9.35,12,21.48,10,3,78,93,Ch1,141,Path_C,1,10.77,43.73,113.51,-0.002
107,43,87.8,5,10.28,20,3,118,58,Ch9,101,Path_A,1,1.0,48.56,126.93,-0.247
108,45,97.48,10,26.57,10,5,247,95,Ch3,234,Path_B,0,13.96,48.7,246.38,0.0
109,32,97.04,1,27.15,30,7,208,39,Ch4,265,Path_B,1,11.35,53.07,177.25,-0.055
110,11,76.22,5,9.92,5,8,129,67,Ch5,77,Path_B,1,5.47,40.62,132.82,-0.113
111,13,17.36,6,23.44,30,7,80,90,Ch7,85,Path_C,1,12.96,39.74,103.17,0.069
112,12,77.04,7,12.16,10,9,266,73,Ch6,165,Path_B,0,10.31,42.93,239.22,-0.052
113,16,7.34,12,25.07,30,5,161,97,Ch5,113,Path_A,0,22.18,38.11,177.29,0.256
114,38,7.1,9,29.93,5,3,95,94,Ch8,67,Path_A,1,13.53,43.81,119.01,0.057
115,37,35.74,3,5.75,50,6,146,90,Ch1,138,Path_D,0,1.0,57.23,174.93,-0.304
116,27,51.42,15,27.43,10,5,254,48,Ch7,212,Path_A,0,21.58,31.05,226.36,0.259
117,28,78.19,2,20.57,30,4,101,93,Ch6,245,Path_D,1,7.88,50.85,133.77,-0.107
118,41,69.91,14,29.33,10,2,187,92,Ch5,127,Path_A,1,17.68,33.82,187.75,0.172
119,39,47.36,3,16.63,50,7,265,67,Ch7,216,Path_D,1,1.8,53.17,242.85,-0.29
120,48,30.99,12,26.18,30,5,123,93,Ch3,139,Path_B,0,15.08,48.61,145.38,0.06
121,44,99.73,9,6.56,30,4,90,75,Ch1,57,Path_C,0,2.74,48.31,104.96,-0.2
122,26,45.49,12,13.38,10,8,272,36,Ch9,265,Path_C,1,9.55,34.41,233.49,-0.027
123,31,47.88,7,6.68,10,9,126,28,Ch2,257,Path_C,0,2.84,47.9,113.71,-0.199
124,39,20.54,9,29.38,5,9,180,53,Ch10,261,Path_B,0,11.39,50.05,169.33,-0.037
125,5,80.51,13,25.42,50,3,236,64,Ch3,64,Path_C,0,23.48,32.14,230.08,0.295
126,39,70.9,2,26.31,5,3,163,28,Ch8,56,Path_A,1,6.43,56.29,146.29,-0.169
127,41,25.97,5,28.45,30,5,101,26,Ch10,299,Path_D,1,9.15,50.42,96.2,-0.064
128,18,12.83,13,7.13,10,5,211,35,Ch9,66,Path_B,1,10.3,31.26,189.0,0.019
129,7,69.65,4,14.64,30,2,226,38,Ch3,135,Path_C,1,9.2,41.2,202.86,-0.056
130,5,67.18,15,6.78,30,1,205,25,Ch6,263,Path_A,1,16.18,25.23,176.09,0.183
131,9,30.96,2,10.27,20,8,260,30,Ch7,167,Path_A,0,6.12,47.09,221.4,-0.159
132,30,95.33,9,10.73,20,3,136,95,Ch1,113,Path_B,0,6.25,45.63,157.13,-0.127
133,18,19.35,9,16.73,30,1,158,80,Ch7,61,Path_B,0,13.49,41.79,172.18,0.047
134,43,46.07,6,11.71,10,1,273,61,Ch4,259,Path_C,0,2.86,54.99,254.53,-0.279
135,31,94.64,11,7.52,30,2,190,32,Ch5,105,Path_D,0,5.51,42.52,166.8,-0.132
136,13,44.87,6,9.19,20,6,274,31,Ch8,223,Path_C,0,6.55,43.34,238.54,-0.137
137,19,65.66,8,8.68,10,6,275,93,Ch4,224,Path_C,1,6.64,38.71,265.53,-0.123
138,19,42.77,6,29.33,30,3,274,39,Ch4,256,Path_B,1,16.68,40.08,238.87,0.103
139,30,31.05,1,23.98,50,4,297,69,Ch8,150,Path_C,0,6.06,54.61,269.73,-0.211
140,46,98.48,4,29.19,50,2,118,55,Ch5,65,Path_C,1,7.81,53.89,120.99,-0.118
141,17,43.89,13,15.99,30,2,169,88,Ch6,246,Path_D,0,18.93,36.47,185.91,0.189
142,36,89.94,7,11.96,10,7,116,56,Ch5,51,Path_A,0,6.26,51.0,121.26,-0.139
143,43,26.85,13,24.96,30,1,110,31,Ch1,177,Path_A,1,12.76,40.35,104.18,0.061
144,36,25.24,13,13.16,30,7,237,59,Ch7,293,Path_D,1,10.92,35.3,211.86,0.007
145,8,7.96,2,12.48,20,1,120,73,Ch6,141,Path_A,0,6.48,47.25,130.95,-0.12
146,34,66.91,9,10.81,50,6,201,21,Ch2,298,Path_C,1,6.59,41.59,170.09,-0.105
147,41,40.01,8,8.24,20,3,240,69,Ch7,154,Path_D,0,2.59,49.78,222.35,-0.25
148,27,87.11,8,11.41,20,8,263,60,Ch6,231,Path_D,0,9.08,44.84,240.51,-0.088
149,43,49.95,7,13.88,30,6,286,64,Ch5,204,Path_B,0,4.63,52.28,258.65,-0.229
150,49,96.98,4,21.85,20,2,238,28,Ch8,80,Path_A,0,4.2,57.78,204.8,-0.245
151,19,22.62,2,6.56,50,8,200,81,Ch5,218,Path_B,0,3.16,49.95,201.11,-0.231
152,47,87.52,3,10.26,20,5,79,66,Ch2,213,Path_C,1,1.0,53.94,91.42,-0.26
153,33,78.78,12,25.23,50,8,237,24,Ch6,96,Path_D,0,15.86,40.2,199.61,0.098
154,40,78.24,6,8.67,20,8,195,95,Ch1,92,Path_C,1,1.76,48.35,203.89,-0.255
155,17,85.25,12,13.57,50,6,145,20,Ch5,114,Path_A,0,12.8,36.12,131.92,0.072
156,36,77.3,12,26.62,20,2,105,63,Ch6,99,Path_B,1,15.73,39.47,116.78,0.127
157,11,64.49,5,8.87,20,8,102,41,Ch7,270,Path_A,0,5.06,48.21,98.79,-0.145
158,26,17.47,12,7.07,10,6,56,57,Ch2,50,Path_C,1,6.43,35.82,75.3,-0.049
159,32,8.09,8,17.11,50,6,146,38,Ch1,249,Path_B,0,6.56,45.27,144.34,-0.114
160,6,92.48,6,12.56,50,8,246,99,Ch6,234,Path_A,0,7.1,45.06,250.88,-0.137
161,46,63.58,6,19.09,50,1,162,50,Ch3,193,Path_C,1,3.39,52.16,157.34,-0.221
162,49,80.67,1,25.1,5,2,269,86,Ch5,171,Path_A,1,3.2,58.23,261.83,-0.289
163,10,50.74,4,8.43,20,9,174,61,Ch2,77,Path_D,1,5.62,43.98,176.9,-0.14
164,32,16.14,5,19.52,50,8,249,45,Ch1,135,Path_B,1,6.82,46.27,227.08,-0.141
165,32,16.89,12,17.64,5,7,256,32,Ch1,131,Path_B,1,7.31,33.8,223.63,-0.071
166,48,70.13,11,8.6,10,7,229,77,Ch4,71,Path_B,1,6.65,41.76,227.04,-0.124
167,48,45.88,3,20.6,50,5,181,37,Ch10,90,Path_D,0,5.27,62.49,157.89,-0.227
168,24,24.05,13,11.84,50,2,211,86,Ch2,125,Path_B,0,12.41,35.46,204.29,0.042
169,34,51.7,9,17.2,5,6,246,22,Ch1,196,Path_D,0,12.81,46.7,208.59,-0.003
170,15,11.1,1,7.06,20,3,210,74,Ch6,138,Path_B,1,1.0,48.05,205.34,-0.272
171,32,60.29,6,16.49,10,4,170,77,Ch4,227,Path_A,1,10.42,44.83,171.78,-0.035
172,29,30.55,6,12.66,50,2,246,82,Ch10,108,Path_A,1,3.4,44.03,241.93,-0.212
173,43,80.77,10,25.56,20,2,87,71,Ch7,118,Path_A,0,12.66,48.01,95.79,0.026
174,37,34.48,5,6.42,10,8,275,43,Ch6,211,Path_A,1,1.0,47.76,238.83,-0.282
175,5,48.25,12,15.47,30,8,171,91,Ch5,216,Path_D,0,16.36,31.37,179.88,0.157
176,31,6.1,15,16.46,30,6,75,28,Ch10,172,Path_C,1,14.8,32.12,65.82,0.158
177,17,11.88,5,23.13,10,5,178,56,Ch2,123,Path_C,1,11.86,44.21,177.87,-0.002
178,45,42.29,10,19.36,5,8,53,72,Ch5,288,Path_A,1,10.11,44.8,71.6,-0.008
179,7,50.59,14,21.68,10,4,88,99,Ch9,298,Path_C,0,20.84,29.89,116.96,0.285
180,43,62.0,13,24.43,10,4,103,43,Ch9,56,Path_C,1,12.97,36.52,108.44,0.082
181,10,32.71,5,26.56,5,5,267,40,Ch2,150,Path_B,0,14.15,45.07,236.83,0.024
182,12,71.02,6,12.85,5,1,210,59,Ch7,160,Path_D,1,10.45,41.95,191.96,-0.028
183,31,86.71,8,18.45,20,1,82,81,Ch10,229,Path_A,1,8.12,43.27,109.51,-0.058
184,13,79.09,2,26.0,20,2,249,89,Ch4,237,Path_C,1,13.83,46.96,245.15,0.006
185,41,8.76,6,29.74,5,8,69,88,Ch3,101,Path_C,1,13.92,49.63,110.87,0.041
186,37,50.65,1,27.24,30,7,65,33,Ch1,256,Path_A,0,3.68,60.23,70.52,-0.222
187,46,14.97,4,14.29,30,9,198,61,Ch3,283,Path_B,1,3.41,52.98,188.19,-0.235
188,48,27.99,14,9.88,10,5,222,69,Ch9,73,Path_A,0,10.66,44.39,207.82,-0.04
